"DateTime","10MAA01CP001","10MAA01CT001","10LBG40CP920","10MAG10CP930","10LCA10CT001","10LBG11CP920","10LCA20CF001","10PAB10CF001","10PAB30CF001","10PAB10CT001","10PAB30CT001","10PAB20CT001","10PAB60CT001","",""
"1/1/2022 1:00","6.1","494","103","10.58","44.43","0.51","182","3440","3324","29.26","30.44","44.81","44.77","",""
"1/1/2022 2:00","6.17","492","103","10.68","44.93","0.49","196","3386","3439","30.95","29.88","44.25","44.13","",""
"1/1/2022 3:00","6.17","493","104","10.91","45.76","0.51","196","3458","3486","28.18","29.18","44.22","44.13","",""
"1/1/2022 4:00","6.25","494","103","10.85","45.78","0.49","187","3419","3380","29.13","29.76","44.25","44.57","",""
"1/1/2022 5:00","6.27","493","103","10.87","44.14","0.5","188","3358","3350","29.94","28.58","44.3","44.22","",""
"1/1/2022 6:00","6.28","490","103","10.2","44.72","0.51","181","3433","3475","28.61","28.47","44.51","44.27","",""
"1/1/2022 7:00","6.29","490","104","10.5","44.16","0.5","199","3359","3344","28.57","28.45","44.93","44.58","",""
"1/1/2022 8:00","6.21","490","104","10.57","44.48","0.5","189","3436","3316","30.58","28.8","44.22","44.44","",""
"1/1/2022 9:00","6.27","490","103","10.89","45.37","0.49","184","3481","3493","29.18","29.72","44.43","44.89","",""
"1/1/2022 10:00","6.21","493","104","10.64","45.62","0.49","195","3473","3395","29.76","30.81","44.78","44.9","",""
"1/1/2022 11:00","6.17","490","103","10.85","44.23","0.49","196","3355","3368","30.78","28.1","44.55","44.4","",""
"1/1/2022 12:00","6.28","494","104","10.98","44.2","0.5","184","3391","3439","30.95","28.29","44.24","44.52","",""
"1/1/2022 13:00","6.21","489","104","10.73","45.97","0.51","191","3472","3438","28.45","30.11","44.44","44.32","",""
"1/1/2022 14:00","6.25","492","103","10.47","44.34","0.51","185","3439","3315","29.83","29.25","44.54","44.62","",""
"1/1/2022 15:00","6.14","494","103","10.57","45.28","0.5","186","3497","3431","28.79","28.86","44.18","44.66","",""
"1/1/2022 16:00","6.23","493","104","10.67","45.93","0.5","183","3471","3368","28.33","29.52","44.16","44.03","",""
"1/1/2022 17:00","6.17","492","103","10.8","44.68","0.51","181","3406","3311","29.22","30.97","44.43","44.91","",""
"1/1/2022 18:00","6.22","494","103","10.51","45.74","0.51","190","3365","3345","29.51","29.34","44.17","44.61","",""
"1/1/2022 19:00","6.11","491","104","10.08","45.32","0.5","183","3412","3445","30.52","30.5","44.49","44.59","",""
