ssx10mag10cp930,ssx10pab20ct001,ssx10pab10ct001,ssxtg_2ce003,ssx10lca10ct001,ssx10pab10cf001,ssx10lbg11cp920,ssx10lbg40cp920,ssx10pab60ct001,ssx10pab30ct001,ssx10maa01cp001,ssx10lca20cf001,ssx10maa01ct001,ssx10pab30cf001,DateTime
10.35434,43.77304,30.310894,53.07129,44.72394,3494.6997,0.49228674,104.187996,44.392372,29.817293,6.1768026,206.8621,488.63702,3479.5984,2024-07-10 17:56:47.114577
10.333296,43.76741,30.31088,53.04443,44.71214,3494.6943,0.49222904,104.18996,44.379692,29.817272,6.178585,206.58913,488.63104,3479.5828,2024-07-10 17:56:48.114577
10.341307,43.778683,30.310904,53.08456,44.721615,3494.6895,0.49222624,104.194336,44.391594,29.817257,6.179526,206.61348,488.62802,3479.5815,2024-07-10 17:56:49.114577
10.34762,43.78827,30.310919,53.119038,44.729996,3494.6838,0.49228227,104.19831,44.402573,29.817245,6.1805334,206.62717,488.62613,3479.5793,2024-07-10 17:56:50.114577
10.349154,43.797333,30.310863,53.16058,44.732803,3494.682,0.49240392,104.199265,44.40862,29.817122,6.181418,206.68471,488.62485,3479.5808,2024-07-10 17:56:51.114577
10.346801,43.804096,30.310802,53.20144,44.734875,3494.6797,0.4926052,104.19986,44.413544,29.816992,6.182213,206.6954,488.62723,3479.582,2024-07-10 17:56:52.114577
10.34181,43.81078,30.310713,53.248287,44.733963,3494.6797,0.4928208,104.19906,44.416084,29.816814,6.1829567,206.72473,488.63022,3479.5842,2024-07-10 17:56:53.114577
10.337179,43.8161,30.310646,53.288803,44.73376,3494.6777,0.49302137,104.198906,44.419212,29.816677,6.1837134,206.7359,488.63342,3479.585,2024-07-10 17:56:54.114577
10.333864,43.821335,30.310587,53.32598,44.73361,3494.676,0.49316663,104.19904,44.42227,29.81656,6.1844087,206.75479,488.63553,3479.5857,2024-07-10 17:56:55.114577
10.332007,43.825825,30.310555,53.35584,44.73493,3494.6733,0.49327582,104.20005,44.426125,29.816483,6.1850567,206.75722,488.637,3479.5845,2024-07-10 17:56:56.114577
10.331648,43.830673,30.31054,53.382362,44.737286,3494.6707,0.49334422,104.20166,44.430645,29.816431,6.1856947,206.7553,488.63742,3479.5835,2024-07-10 17:56:57.114577
10.332359,43.834873,30.310534,53.403786,44.740417,3494.6672,0.49337947,104.20364,44.435352,29.8164,6.186257,206.74652,488.63733,3479.5815,2024-07-10 17:56:58.114577
10.333461,43.838657,30.31053,53.422226,44.744015,3494.6638,0.4934028,104.2058,44.440132,29.81638,6.1868005,206.73102,488.63693,3479.579,2024-07-10 17:56:59.114577
10.335266,43.842686,30.31054,53.439625,44.748245,3494.6597,0.49340704,104.20827,44.445374,29.81637,6.1873746,206.71146,488.636,3479.5764,2024-07-10 17:57:00.114577
10.337152,43.84637,30.310545,53.45547,44.753033,3494.6555,0.49341458,104.21077,44.45082,29.816364,6.1879244,206.68617,488.6352,3479.5737,2024-07-10 17:57:01.114577
10.339817,43.850224,30.310562,53.470245,44.75807,3494.6514,0.4934081,104.21338,44.456326,29.816372,6.1885242,206.65463,488.6342,3479.5706,2024-07-10 17:57:02.114577
10.343184,43.855286,30.310581,53.48822,44.76278,3494.6477,0.4933871,104.215866,44.461555,29.816374,6.189224,206.6275,488.63284,3479.5671,2024-07-10 17:57:03.114577
10.346237,43.859486,30.310587,53.503494,44.767067,3494.6448,0.49335682,104.21792,44.465973,29.816364,6.1898284,206.60133,488.6313,3479.5642,2024-07-10 17:57:04.114577
10.348755,43.863552,30.310587,53.517467,44.77149,3494.6414,0.49333352,104.219734,44.470062,29.816347,6.1904078,206.57265,488.6295,3479.562,2024-07-10 17:57:05.114577
10.360839,43.864227,30.310606,53.48003,44.78128,3494.6443,0.49330714,104.224754,44.47129,29.816355,6.1895604,206.47205,488.6247,3479.562,2024-07-10 17:57:06.114577
10.366577,43.864628,30.310596,53.457253,44.788803,3494.645,0.493361,104.2276,44.47221,29.816326,6.189106,206.38443,488.62207,3479.562,2024-07-10 17:57:07.114577
10.366723,43.86432,30.310553,53.445766,44.79196,3494.6455,0.49344075,104.22794,44.47114,29.816256,6.188899,206.32886,488.6208,3479.5627,2024-07-10 17:57:08.114577
10.364227,43.862335,30.310501,53.434753,44.79246,3494.6458,0.49350843,104.22725,44.468723,29.816189,6.1887374,206.28859,488.61993,3479.5635,2024-07-10 17:57:09.114577
10.361666,43.860893,30.310452,53.426548,44.79192,3494.6465,0.49353915,104.226456,44.465992,29.816126,6.188647,206.26259,488.61838,3479.564,2024-07-10 17:57:10.114577
10.359218,43.858994,30.310408,53.416473,44.7918,3494.6465,0.4935595,104.22591,44.463524,29.816065,6.1885557,206.23154,488.6167,3479.564,2024-07-10 17:57:11.114577
10.357114,43.857403,30.310358,53.405334,44.792286,3494.6462,0.49356458,104.22561,44.46122,29.816008,6.1884956,206.194,488.6143,3479.5635,2024-07-10 17:57:12.114577
10.354784,43.85591,30.310297,53.394653,44.793133,3494.6462,0.49356532,104.22531,44.458755,29.815931,6.18846,206.15192,488.61145,3479.5632,2024-07-10 17:57:13.114577
10.350848,43.85301,30.31022,53.378925,44.794613,3494.645,0.49358937,104.224884,44.455772,29.815836,6.188423,206.08665,488.6085,3479.5627,2024-07-10 17:57:14.114577
10.345951,43.849937,30.310127,53.361923,44.79661,3494.6436,0.49361786,104.22454,44.45268,29.815725,6.188485,206.00624,488.60504,3479.5618,2024-07-10 17:57:15.114577
10.339772,43.847675,30.310034,53.346832,44.799007,3494.6414,0.49365968,104.22445,44.449776,29.81561,6.188787,205.90848,488.6013,3479.5596,2024-07-10 17:57:16.114577
10.329231,43.84681,30.309824,53.332706,44.803093,3494.6423,0.4937338,104.2215,44.44508,29.81533,6.1890035,205.78235,488.59433,3479.5605,2024-07-10 17:57:17.114577
10.333294,43.850117,30.309843,53.34312,44.80669,3494.6409,0.4937082,104.22322,44.44872,29.815342,6.1893005,205.76698,488.5937,3479.559,2024-07-10 17:57:18.114577
10.338211,43.854687,30.309866,53.357506,44.810616,3494.6394,0.49366847,104.22514,44.45286,29.81535,6.1896644,205.75739,488.5926,3479.5576,2024-07-10 17:57:19.114577
10.341203,43.85738,30.309866,53.36735,44.81397,3494.6387,0.49367148,104.22652,44.455765,29.81533,6.1899223,205.7405,488.5923,3479.5566,2024-07-10 17:57:20.114577
10.341191,43.8593,30.309828,53.377884,44.81527,3494.6392,0.49375948,104.22681,44.456486,29.815252,6.190116,205.7283,488.593,3479.5574,2024-07-10 17:57:21.114577
10.339628,43.861656,30.309767,53.39417,44.815514,3494.64,0.49387532,104.226395,44.456776,29.815145,6.1904078,205.72815,488.59415,3479.5583,2024-07-10 17:57:22.114577
10.337267,43.864098,30.309692,53.413124,44.815506,3494.6409,0.4940069,104.2255,44.456898,29.815022,6.1907225,205.73393,488.59573,3479.5603,2024-07-10 17:57:23.114577
10.335666,43.867146,30.309624,53.430176,44.817123,3494.642,0.49412057,104.2247,44.458023,29.814901,6.1910233,205.73703,488.59668,3479.562,2024-07-10 17:57:24.114577
10.334813,43.870037,30.309563,53.442287,44.817814,3494.6436,0.4941755,104.22391,44.457905,29.814802,6.1912074,205.74829,488.59598,3479.5642,2024-07-10 17:57:25.114577
10.333811,43.87084,30.309502,53.440353,44.820168,3494.645,0.49422327,104.22309,44.457405,29.81472,6.1911683,205.73851,488.5948,3479.5664,2024-07-10 17:57:26.114577
10.333147,43.87005,30.30945,53.427345,44.82267,3494.6472,0.49424008,104.2221,44.455654,29.814657,6.190891,205.72421,488.59283,3479.5693,2024-07-10 17:57:27.114577
10.331978,43.86763,30.309397,53.403404,44.82535,3494.6506,0.49423987,104.22065,44.452553,29.814606,6.1903677,205.70299,488.5903,3479.5735,2024-07-10 17:57:28.114577
10.329943,43.86334,30.309347,53.366745,44.827602,3494.654,0.4942198,104.21871,44.448006,29.814573,6.1895914,205.67001,488.58725,3479.5774,2024-07-10 17:57:29.114577
10.326357,43.856873,30.309296,53.31642,44.828884,3494.658,0.49419114,104.216034,44.441723,29.814556,6.188535,205.6232,488.58408,3479.5813,2024-07-10 17:57:30.114577
10.322354,43.849396,30.30928,53.258392,44.826935,3494.662,0.49411154,104.21297,44.433727,29.814592,6.187252,205.58466,488.58063,3479.5845,2024-07-10 17:57:31.114577
10.317907,43.8395,30.309305,53.18979,44.821667,3494.6663,0.4939834,104.20994,44.42346,29.814688,6.185738,205.54944,488.57693,3479.5864,2024-07-10 17:57:32.114577
10.31302,43.82645,30.30936,53.114098,44.81412,3494.6704,0.49384615,104.20725,44.411777,29.81484,6.1840744,205.51663,488.57468,3479.588,2024-07-10 17:57:33.114577
10.3095255,43.813156,30.309454,53.042316,44.805153,3494.6736,0.49368373,104.20549,44.400776,29.815044,6.1824765,205.49115,488.57343,3479.5872,2024-07-10 17:57:34.114577
10.30524,43.799572,30.309547,52.982555,44.793114,3494.677,0.4935462,104.203766,44.388737,29.815226,6.180999,205.48325,488.57318,3479.586,2024-07-10 17:57:35.114577
10.306319,43.785748,30.309576,52.90272,44.784428,3494.6895,0.49364468,104.20407,44.373203,29.815273,6.1784644,205.43271,488.5753,3479.5925,2024-07-10 17:57:36.114577
10.304442,43.777565,30.309605,52.884026,44.773983,3494.6956,0.4937296,104.20372,44.36345,29.815298,6.1775365,205.42204,488.5799,3479.5945,2024-07-10 17:57:37.114577
10.3060665,43.77846,30.309654,52.924183,44.768208,3494.695,0.49380675,104.205925,44.363613,29.815308,6.178176,205.41595,488.58704,3479.5903,2024-07-10 17:57:38.114577
10.311305,43.78913,30.309647,53.02353,44.7692,3494.6914,0.493922,104.210075,44.372078,29.815184,6.1801915,205.39914,488.5965,3479.5842,2024-07-10 17:57:39.114577
10.324422,43.812267,30.309624,53.174667,44.78372,3494.6829,0.4940673,104.21894,44.39304,29.814978,6.183777,205.33334,488.60834,3479.5757,2024-07-10 17:57:40.114577
10.350788,43.852272,30.309366,53.39987,44.818157,3494.685,0.494437,104.23404,44.427444,29.814394,6.1897798,205.30057,488.63065,3479.5864,2024-07-10 17:57:41.114577
10.398546,43.898125,30.308767,53.666187,44.88962,3494.7031,0.4951798,104.2721,44.48968,29.813347,6.197063,205.164,488.66803,3479.6267,2024-07-10 17:57:42.114577
